logging,optimal,uniform,greedy,online,regression-based (single),IS-based (single),hybrid (single),IS-based (dso),hybrid (fixed-action),target_value,random_state
-0.07443080842494965,0.6670823693275452,-0.11101143807172775,0.31881269812583923,0.45060649514198303,0.0037264598067849874,0.2630600035190582,0.3138595521450043,0.3585524260997772,0.3435916602611542,0.0,0
-0.0029296630527824163,0.6743390560150146,-0.0806889683008194,0.4678093194961548,0.4271601140499115,0.37631168961524963,0.28670555353164673,0.3998005986213684,0.2776143252849579,0.4560656249523163,0.0,1
0.04714810103178024,0.5619956851005554,-0.005370363127440214,0.44953736662864685,0.4299582540988922,0.32226502895355225,0.28728723526000977,0.34749746322631836,0.2835473418235779,0.4471050202846527,0.0,2
-0.05647432804107666,0.5320913791656494,-0.11499321460723877,0.2732469141483307,0.3652867078781128,0.30312076210975647,0.2314874529838562,0.28199484944343567,0.29261934757232666,0.286075234413147,0.0,3
-0.318363219499588,0.5093204379081726,-0.35466185212135315,0.03718075528740883,0.27603134512901306,-0.14268667995929718,0.056996941566467285,0.12307389825582504,0.1263943910598755,0.06492798030376434,0.0,4
0.2946462631225586,1.0678539276123047,0.1872512698173523,0.7885806560516357,0.8305684328079224,0.6908700466156006,0.6081957817077637,0.6616388559341431,0.6240509748458862,0.8220599889755249,0.0,5
0.4269241690635681,1.2148559093475342,0.3638601005077362,0.7780237793922424,0.989657998085022,0.8056765794754028,0.7388470768928528,0.8836746215820312,0.7062906622886658,0.8175187706947327,0.0,6
0.25641757249832153,0.8938780426979065,0.1893652230501175,0.6895990967750549,0.761916995048523,0.5745769143104553,0.5335076451301575,0.6463072896003723,0.5312126278877258,0.7322728037834167,0.0,7
-0.016701221466064453,0.7653523683547974,-0.07846177369356155,0.19955599308013916,0.5054415464401245,0.2832261919975281,0.3309198319911957,0.3957452178001404,0.3611588180065155,0.17264364659786224,0.0,8
0.1242118552327156,0.905837893486023,0.029331810772418976,0.6031473875045776,0.6661946177482605,0.353494793176651,0.3989606499671936,0.548728346824646,0.45105499029159546,0.6222035884857178,0.0,9
0.15284621715545654,0.8783528208732605,0.053708795458078384,0.541724443435669,0.7043989300727844,0.6120144724845886,0.48178935050964355,0.550543487071991,0.4404976963996887,0.6102493405342102,0.0,10
0.027177227661013603,0.6828612089157104,-0.005280772224068642,0.42150723934173584,0.4831000864505768,0.32011663913726807,0.34706613421440125,0.36832666397094727,0.31729447841644287,0.43198758363723755,0.0,11
0.0657992735505104,0.6324869990348816,-0.030536623671650887,0.4988632798194885,0.49087733030319214,0.4708571434020996,0.3156011998653412,0.4242458939552307,0.39263424277305603,0.5028688907623291,0.0,12
0.15013079345226288,0.8352537155151367,0.08475040644407272,0.6323618292808533,0.6868865489959717,0.5477659702301025,0.49722322821617126,0.5636978149414062,0.49312305450439453,0.6586014032363892,0.0,13
-0.05818456411361694,0.6685256958007812,-0.1413545459508896,0.4429539144039154,0.4484257400035858,0.443294882774353,0.3340900242328644,0.4220597743988037,0.417659729719162,0.4730766713619232,0.0,14
-0.097164586186409,0.5960448980331421,-0.16487939655780792,0.37702304124832153,0.35162824392318726,0.281438946723938,0.267193466424942,0.3885543644428253,0.36313071846961975,0.3929441571235657,0.0,15
0.15030081570148468,0.8343201875686646,0.07363608479499817,0.5619979500770569,0.661179780960083,0.5034286379814148,0.4575805068016052,0.5169950723648071,0.48403090238571167,0.6147405505180359,0.0,16
0.26714402437210083,0.839240550994873,0.18761250376701355,0.7274512052536011,0.6867462992668152,0.6449461579322815,0.46768614649772644,0.6227538585662842,0.4555089473724365,0.7265243530273438,0.0,17
